RefCat,AnnoConstruccion,Direccion
3405905PD7030E,1997,CORCHUELA
0806801PD7000F,1990,PLANTIO EL
0806805PD7000F,1983,PLANTIO EL
0806806PD7000F,2004,PLANTIO EL
0806807PD7000F,1973,PLANTIO EL
0806810PD7000F,2000,PLANTIO EL
0806811PD7000F,1989,PLANTIO EL
0905210PD7000F,1982,PLANTIO EL
0609101PD7000H,1995,PLANTIO EL
0609102PD7000H,1985,PLANTIO EL
2059927PD7025G,1987,PABLO SOROZABAL
2059928PD7025G,1969,MORENO TORROBA
2059929PD7025G,0,MORENO TORROBA
2158701PD7025G,2004,BRETON DE LOS HERREROS
2158703PD7025G,1958,MORENO TORROBA
2158704PD7025G,1958,MORENO TORROBA
2158705PD7025G,1958,MORENO TORROBA
2158706PD7025G,1958,MORENO TORROBA
2158707PD7025G,2000,MORENO TORROBA
2158708PD7025G,1958,MORENO TORROBA
2158709PD7025G,1958,MORENO TORROBA
2158710PD7025G,1958,MORENO TORROBA
2259101PD7025G,1970,CESPEDES
3405907PD7030E,1990,CORCHUELA
4731505PD7033B,1970,DRAGO EL
0609103PD7000H,1982,PLANTIO EL
0609104PD7000H,1980,PLANTIO EL
0609107PD7000H,1986,PLANTIO EL
0807401PD7000H,2006,PLANTIO EL
0807402PD7000H,2013,PLANTIO EL
0807403PD7000H,1984,PLANTIO EL
0807404PD7000H,1982,PLANTIO EL
0807408PD7000H,2003,PLANTIO EL
0610201PD7001B,2006,PLANTIO EL
0610202PD7001B,1990,PLANTIO EL
0610206PD7001B,1981,PLANTIO EL
2862503PD7025G,1984,UNIVERSITARIA
2862504PD7025G,1984,UNIVERSITARIA
2862505PD7025G,1984,UNIVERSITARIA
2862506PD7025G,1984,UNIVERSITARIA
2862507PD7025G,1984,UNIVERSITARIA
2862508PD7025G,1984,UNIVERSITARIA
2862509PD7025G,1984,UNIVERSITARIA
2862510PD7025G,1984,UNIVERSITARIA
2862511PD7025G,1984,UNIVERSITARIA
2862512PD7025G,1984,UNIVERSITARIA
2862513PD7025G,1984,UNIVERSITARIA
